order_id,order_date,customer_id,category,amount_gross,discount_pct,amount_after_discount,status,payment_method,delivery_method,product_cost,delivery_cost,payment_fee,return_processing_cost,refund_amount,profit,cancellation_reason,return_reason
102,2024-01-15,1034,fashion,88.27,20,70.61,paid,card,standard,47.66,5.5,2.21,0,0.0,15.24,,
101,2024-01-15,1128,electronics,133.84,0,133.84,paid,card,standard,99.04,5.5,3.35,0,0.0,25.95,,
53,2024-01-15,1081,sport,103.35,0,103.35,paid,invoice,standard,59.94,5.5,2.58,0,0.0,35.32,,
73,2024-01-15,1096,fashion,94.74,5,90.0,paid,bank_transfer,standard,51.16,5.5,2.37,0,0.0,30.97,,
74,2024-01-15,1029,beauty,73.81,5,70.12,paid,card,standard,36.9,5.5,1.85,0,0.0,25.87,,
79,2024-01-15,1079,beauty,47.87,10,43.09,paid,invoice,pickup,23.94,2.5,0.57,0,0.0,16.07,,
4,2024-01-15,1118,fashion,50.42,0,50.42,cancelled,card,pickup,27.23,2.5,0.91,0,0.0,-2.0,customer_changed_mind,
39,2024-01-15,1032,fashion,72.66,0,72.66,paid,card,express,39.24,11.0,0.87,0,0.0,21.55,,
107,2024-01-16,1035,home,100.64,10,90.58,paid,card,standard,62.4,5.5,2.52,0,0.0,20.16,,
106,2024-01-17,1065,home,118.31,0,118.31,paid,card,standard,73.35,5.5,1.42,0,0.0,38.04,,
114,2024-01-17,1060,fashion,87.54,10,78.78,paid,card,standard,47.27,5.5,1.05,0,0.0,24.96,,
56,2024-01-17,1045,electronics,222.93,10,200.64,paid,card,express,164.97,11.0,2.68,0,0.0,21.99,,
34,2024-01-17,1088,home,67.79,10,61.01,paid,card,standard,42.03,5.5,1.22,0,0.0,12.26,,
50,2024-01-17,1081,beauty,58.56,5,55.63,paid,card,express,29.28,11.0,0.7,0,0.0,14.65,,
125,2024-01-17,1067,beauty,96.5,5,91.67,cancelled,invoice,standard,48.25,5.5,2.41,0,0.0,-2.0,payment_failed,
66,2024-01-18,1005,fashion,56.2,0,56.2,paid,paypal,standard,30.35,5.5,0.67,0,0.0,19.68,,
85,2024-01-18,1106,electronics,197.36,10,177.62,paid,card,pickup,146.04,2.5,3.55,0,0.0,25.52,,
17,2024-01-19,1075,fashion,59.86,0,59.86,paid,paypal,pickup,32.32,2.5,1.08,0,0.0,23.96,,
35,2024-01-19,1084,beauty,76.32,5,72.5,paid,card,standard,38.16,5.5,0.92,0,0.0,27.93,,
36,2024-01-19,1123,fashion,79.62,0,79.62,paid,card,express,42.99,11.0,1.99,0,0.0,23.63,,
14,2024-01-20,1111,fashion,46.61,5,44.28,paid,card,standard,25.17,5.5,0.56,0,0.0,13.05,,
100,2024-01-20,1043,electronics,114.8,0,114.8,returned,card,express,84.95,11.0,2.07,15,114.8,-28.07,,late_delivery
98,2024-01-20,1111,fashion,35.29,0,35.29,paid,card,standard,19.06,5.5,0.64,0,0.0,10.1,,
72,2024-01-20,1074,beauty,55.89,15,47.51,paid,paypal,standard,27.95,5.5,1.01,0,0.0,13.06,,
90,2024-01-20,1097,fashion,106.46,0,106.46,returned,bank_transfer,standard,57.49,5.5,1.92,18,106.46,-25.42,,damaged
134,2024-01-21,1092,beauty,45.23,0,45.23,paid,card,pickup,22.62,2.5,0.54,0,0.0,19.57,,
80,2024-01-21,1017,sport,80.65,0,80.65,paid,card,standard,46.78,5.5,1.45,0,0.0,26.92,,
31,2024-01-21,1051,fashion,49.02,25,36.77,cancelled,invoice,standard,26.47,5.5,1.23,0,0.0,-2.0,customer_changed_mind,
2,2024-01-21,1095,fashion,107.35,15,91.25,paid,paypal,express,57.97,11.0,1.29,0,0.0,20.99,,
99,2024-01-21,1026,electronics,171.75,20,137.4,paid,card,standard,127.1,5.5,2.06,0,0.0,2.74,,
45,2024-01-21,1109,fashion,99.94,5,94.95,cancelled,card,standard,53.97,5.5,1.2,0,0.0,-2.0,customer_changed_mind,
131,2024-01-21,1031,electronics,166.55,0,166.55,returned,paypal,standard,123.25,5.5,4.16,15,166.55,-24.66,,size_issue
54,2024-01-21,1032,fashion,87.05,15,74.0,paid,invoice,standard,47.01,5.5,1.04,0,0.0,20.44,,
46,2024-01-21,1106,electronics,213.99,0,213.99,paid,card,express,158.35,11.0,3.85,0,0.0,40.79,,
7,2024-01-22,1006,beauty,76.61,0,76.61,paid,card,standard,38.31,5.5,0.92,0,0.0,31.89,,
21,2024-01-22,1094,electronics,208.45,0,208.45,returned,card,pickup,154.25,2.5,2.5,8,208.45,-13.0,,late_delivery
93,2024-01-22,1008,beauty,86.95,0,86.95,paid,card,standard,43.48,5.5,1.04,0,0.0,36.93,,
89,2024-01-22,1082,electronics,97.39,5,92.52,paid,card,standard,72.07,5.5,1.17,0,0.0,13.78,,
112,2024-01-22,1054,sport,81.77,0,81.77,paid,paypal,pickup,47.43,2.5,2.04,0,0.0,29.8,,
20,2024-01-23,1138,kids,41.61,0,41.61,cancelled,paypal,standard,23.72,5.5,0.75,0,0.0,-1.5,customer_changed_mind,
23,2024-01-23,1062,home,86.02,10,77.41,paid,card,standard,53.33,5.5,1.03,0,0.0,17.55,,
41,2024-01-23,1055,kids,66.85,0,66.85,cancelled,card,pickup,38.1,2.5,0.8,0,0.0,-2.0,customer_changed_mind,
67,2024-01-24,1037,home,77.79,15,66.12,paid,paypal,standard,48.23,5.5,1.94,0,0.0,10.45,,
97,2024-01-24,1001,home,51.89,5,49.3,paid,bank_transfer,standard,32.17,5.5,0.93,0,0.0,10.69,,
10,2024-01-24,1034,electronics,245.85,0,245.85,paid,paypal,standard,181.93,5.5,4.43,0,0.0,54.0,,
77,2024-01-24,1092,fashion,26.52,0,26.52,paid,card,express,14.32,11.0,0.66,0,0.0,0.54,,
76,2024-01-24,1116,fashion,42.85,10,38.56,paid,bank_transfer,standard,23.14,5.5,1.07,0,0.0,8.85,,
65,2024-01-25,1098,beauty,26.24,5,24.93,paid,card,pickup,13.12,2.5,0.31,0,0.0,8.99,,
94,2024-01-25,1060,beauty,79.56,5,75.58,paid,card,express,39.78,11.0,1.43,0,0.0,23.37,,
127,2024-01-25,1014,electronics,105.16,10,94.65,paid,paypal,pickup,77.82,2.5,2.63,0,0.0,11.7,,
82,2024-01-25,1032,sport,78.86,10,70.97,returned,paypal,pickup,45.74,2.5,1.42,8,70.97,-11.92,,size_issue
5,2024-01-25,1085,sport,85.69,5,81.4,paid,card,standard,49.7,5.5,1.54,0,0.0,24.66,,
62,2024-01-25,1059,beauty,55.97,15,47.57,paid,card,pickup,27.98,2.5,0.67,0,0.0,16.42,,
105,2024-01-25,1132,fashion,90.68,10,81.61,paid,card,pickup,48.97,2.5,1.63,0,0.0,28.51,,
103,2024-01-26,1113,electronics,192.45,10,173.2,paid,card,express,142.41,11.0,3.46,0,0.0,16.33,,
86,2024-01-26,1008,kids,43.23,5,41.07,cancelled,paypal,express,24.64,11.0,0.78,0,0.0,-1.5,customer_changed_mind,
92,2024-01-26,1115,home,161.56,0,161.56,paid,bank_transfer,standard,100.17,5.5,1.94,0,0.0,53.95,,
42,2024-01-26,1140,fashion,42.16,0,42.16,paid,bank_transfer,standard,22.77,5.5,0.51,0,0.0,13.39,,
138,2024-01-27,1060,electronics,78.35,0,78.35,returned,bank_transfer,standard,57.98,5.5,1.96,15,78.35,-22.46,,late_delivery
130,2024-01-28,1031,beauty,51.4,0,51.4,paid,card,express,25.7,11.0,0.93,0,0.0,13.78,,
136,2024-01-28,1139,beauty,66.15,15,56.23,paid,card,standard,33.08,5.5,0.79,0,0.0,16.86,,
29,2024-01-28,1134,beauty,67.6,0,67.6,paid,paypal,standard,33.8,5.5,0.81,0,0.0,27.49,,
38,2024-01-28,1055,kids,98.18,0,98.18,paid,card,express,55.96,11.0,1.18,0,0.0,30.04,,
129,2024-01-28,1134,electronics,141.6,0,141.6,paid,paypal,pickup,104.78,2.5,3.54,0,0.0,30.78,,
1,2024-01-28,1063,beauty,59.98,0,59.98,paid,card,standard,29.99,5.5,0.72,0,0.0,23.77,,
109,2024-01-29,1087,fashion,68.37,15,58.11,paid,card,pickup,36.92,2.5,0.82,0,0.0,17.87,,
44,2024-01-29,1040,fashion,49.38,0,49.38,paid,card,express,26.67,11.0,0.59,0,0.0,11.12,,
8,2024-01-29,1008,electronics,89.2,10,80.28,paid,paypal,pickup,66.01,2.5,2.23,0,0.0,9.54,,
57,2024-01-30,1004,fashion,102.09,15,86.77,paid,card,standard,55.13,5.5,2.55,0,0.0,23.59,,
27,2024-01-31,1047,fashion,67.92,10,61.12,paid,paypal,standard,36.67,5.5,1.22,0,0.0,17.73,,
26,2024-01-31,1033,electronics,248.69,5,236.26,paid,card,pickup,184.03,2.5,6.22,0,0.0,43.51,,
243,2024-02-01,1059,fashion,80.53,15,68.45,cancelled,card,standard,43.49,5.5,1.45,0,0.0,-2.0,payment_failed,
245,2024-02-01,1111,beauty,88.68,5,84.25,cancelled,bank_transfer,standard,44.34,5.5,1.6,0,0.0,-2.0,payment_failed,
155,2024-02-01,1035,fashion,71.85,10,64.67,paid,paypal,standard,38.8,5.5,1.29,0,0.0,19.07,,
231,2024-02-02,1126,kids,31.09,10,27.98,paid,paypal,standard,17.72,5.5,0.37,0,0.0,4.39,,
200,2024-02-02,1104,fashion,59.08,15,50.22,paid,paypal,express,31.9,11.0,1.06,0,0.0,6.25,,
309,2024-02-02,1045,electronics,34.08,5,32.37,paid,bank_transfer,standard,25.22,5.5,0.41,0,0.0,1.25,,
220,2024-02-02,1076,beauty,62.14,0,62.14,paid,bank_transfer,standard,31.07,5.5,1.55,0,0.0,24.02,,
142,2024-02-02,1049,home,91.14,25,68.35,paid,card,standard,56.51,5.5,1.64,0,0.0,4.71,,
270,2024-02-03,1095,beauty,59.72,0,59.72,paid,card,express,29.86,11.0,1.07,0,0.0,17.79,,
185,2024-02-03,1051,sport,81.61,20,65.29,paid,card,standard,47.34,5.5,0.98,0,0.0,11.48,,
269,2024-02-03,1104,electronics,226.86,25,170.15,cancelled,bank_transfer,pickup,167.88,2.5,4.08,0,0.0,-2.0,payment_failed,
227,2024-02-03,1132,fashion,33.98,5,32.28,paid,card,express,18.35,11.0,0.41,0,0.0,2.53,,
199,2024-02-03,1019,kids,57.4,0,57.4,paid,bank_transfer,pickup,32.72,2.5,1.44,0,0.0,20.75,,
286,2024-02-03,1120,home,87.72,0,87.72,cancelled,invoice,pickup,54.39,2.5,1.58,0,0.0,-1.5,payment_failed,
201,2024-02-03,1045,sport,67.03,20,53.62,cancelled,card,standard,38.88,5.5,0.8,0,0.0,-2.0,payment_failed,
171,2024-02-04,1124,electronics,182.46,5,173.34,paid,card,express,135.02,11.0,3.28,0,0.0,24.03,,
236,2024-02-04,1083,home,84.25,0,84.25,returned,card,pickup,52.24,2.5,2.11,8,84.25,-12.61,,size_issue
251,2024-02-04,1109,beauty,53.0,5,50.35,cancelled,bank_transfer,pickup,26.5,2.5,0.64,0,0.0,-1.0,delivery_too_slow,
166,2024-02-04,1004,kids,56.12,0,56.12,cancelled,paypal,pickup,31.99,2.5,0.67,0,0.0,-1.5,out_of_stock,
234,2024-02-04,1006,electronics,218.45,15,185.68,paid,card,express,161.65,11.0,3.93,0,0.0,9.1,,
299,2024-02-04,1116,beauty,70.02,0,70.02,paid,card,pickup,35.01,2.5,1.26,0,0.0,31.25,,
232,2024-02-04,1009,fashion,62.81,5,59.67,returned,paypal,standard,33.92,5.5,1.13,15,59.67,-21.63,,damaged
307,2024-02-04,1044,sport,37.43,5,35.56,paid,card,express,21.71,11.0,0.45,0,0.0,2.4,,
295,2024-02-04,1105,beauty,37.99,5,36.09,cancelled,paypal,pickup,19.0,2.5,0.95,0,0.0,-1.5,delivery_too_slow,
242,2024-02-04,1108,electronics,171.93,15,146.14,cancelled,card,express,127.23,11.0,3.09,0,0.0,-2.0,customer_changed_mind,
318,2024-02-05,1014,electronics,209.61,10,188.65,paid,card,express,155.11,11.0,3.77,0,0.0,18.77,,
191,2024-02-05,1122,kids,74.64,20,59.71,returned,card,pickup,42.54,2.5,0.9,18,59.71,-21.4,,late_delivery
176,2024-02-05,1120,electronics,130.65,20,104.52,paid,bank_transfer,pickup,96.68,2.5,2.35,0,0.0,2.99,,
281,2024-02-05,1036,fashion,70.57,0,70.57,paid,paypal,standard,38.11,5.5,1.76,0,0.0,25.2,,
311,2024-02-05,1122,home,31.1,5,29.54,paid,card,pickup,19.28,2.5,0.56,0,0.0,7.2,,
225,2024-02-05,1082,home,85.93,0,85.93,paid,card,pickup,53.27,2.5,2.15,0,0.0,28.0,,
238,2024-02-05,1075,beauty,76.85,10,69.16,returned,card,standard,38.42,5.5,0.92,8,69.16,-14.42,,late_delivery
165,2024-02-05,1060,fashion,106.58,5,101.25,returned,card,standard,57.55,5.5,2.66,18,101.25,-26.16,,not_as_expected
195,2024-02-06,1047,electronics,157.21,5,149.35,returned,card,standard,116.33,5.5,3.93,18,149.35,-27.43,,late_delivery
285,2024-02-06,1089,kids,96.31,20,77.05,paid,paypal,pickup,54.9,2.5,1.16,0,0.0,18.5,,
233,2024-02-06,1081,fashion,103.4,25,77.55,cancelled,card,pickup,55.84,2.5,2.59,0,0.0,-1.0,payment_failed,
267,2024-02-06,1122,fashion,91.12,25,68.34,cancelled,card,express,49.2,11.0,1.09,0,0.0,-1.5,customer_changed_mind,
314,2024-02-07,1058,fashion,13.5,0,13.5,paid,bank_transfer,standard,7.29,5.5,0.34,0,0.0,0.37,,
250,2024-02-07,1129,beauty,71.55,5,67.97,paid,card,standard,35.77,5.5,1.29,0,0.0,25.41,,
223,2024-02-07,1091,home,111.95,20,89.56,paid,paypal,pickup,69.41,2.5,2.02,0,0.0,15.64,,
263,2024-02-07,1048,fashion,111.66,20,89.33,paid,paypal,express,60.3,11.0,2.01,0,0.0,16.02,,
193,2024-02-08,1021,sport,96.23,10,86.61,paid,invoice,standard,55.81,5.5,2.41,0,0.0,22.89,,
235,2024-02-08,1032,kids,65.38,20,52.3,paid,paypal,express,37.26,11.0,1.18,0,0.0,2.86,,
310,2024-02-08,1126,fashion,57.59,20,46.07,paid,card,pickup,31.1,2.5,1.44,0,0.0,11.03,,
291,2024-02-08,1057,fashion,30.81,15,26.19,paid,card,standard,16.64,5.5,0.37,0,0.0,3.68,,
279,2024-02-08,1011,beauty,47.84,25,35.88,paid,invoice,express,23.92,11.0,0.57,0,0.0,0.39,,
172,2024-02-08,1039,electronics,156.82,15,133.3,returned,card,standard,116.05,5.5,1.88,12,133.3,-19.38,,not_as_expected
255,2024-02-08,1122,electronics,186.66,5,177.33,paid,card,standard,138.13,5.5,4.67,0,0.0,29.03,,
222,2024-02-08,1044,electronics,101.67,25,76.25,paid,card,standard,75.24,5.5,2.54,0,0.0,-7.03,,
175,2024-02-09,1030,sport,92.92,5,88.27,cancelled,bank_transfer,standard,53.89,5.5,2.32,0,0.0,-1.5,customer_changed_mind,
312,2024-02-09,1035,beauty,69.62,5,66.14,returned,paypal,express,34.81,11.0,1.25,8,66.14,-20.25,,size_issue
141,2024-02-09,1028,beauty,71.25,10,64.12,paid,bank_transfer,pickup,35.62,2.5,0.85,0,0.0,25.14,,
296,2024-02-09,1137,fashion,88.33,5,83.91,paid,card,standard,47.7,5.5,1.06,0,0.0,29.65,,
190,2024-02-10,1067,beauty,70.23,0,70.23,paid,paypal,standard,35.12,5.5,1.26,0,0.0,28.35,,
277,2024-02-10,1128,home,122.74,25,92.05,cancelled,invoice,express,76.1,11.0,1.47,0,0.0,-1.0,payment_failed,
164,2024-02-10,1051,electronics,120.28,5,114.26,cancelled,paypal,standard,89.0,5.5,1.44,0,0.0,-1.5,delivery_too_slow,
282,2024-02-10,1010,electronics,121.62,5,115.54,paid,card,standard,90.0,5.5,3.04,0,0.0,17.0,,
254,2024-02-10,1045,electronics,218.23,15,185.5,paid,card,standard,161.49,5.5,2.62,0,0.0,15.89,,
308,2024-02-11,1040,fashion,50.74,10,45.67,paid,card,express,27.4,11.0,0.91,0,0.0,6.35,,
186,2024-02-11,1065,beauty,73.98,20,59.18,paid,card,express,36.99,11.0,0.89,0,0.0,10.31,,
204,2024-02-11,1079,sport,50.6,15,43.01,paid,card,standard,29.35,5.5,0.91,0,0.0,7.25,,
319,2024-02-11,1027,sport,56.59,0,56.59,paid,card,express,32.82,11.0,1.41,0,0.0,11.35,,
156,2024-02-12,1024,fashion,76.99,15,65.44,paid,invoice,express,41.58,11.0,0.92,0,0.0,11.94,,
169,2024-02-12,1021,electronics,156.53,15,133.05,paid,paypal,standard,115.83,5.5,2.82,0,0.0,8.9,,
179,2024-02-12,1004,beauty,63.17,15,53.69,paid,card,standard,31.58,5.5,0.76,0,0.0,15.85,,
192,2024-02-12,1049,electronics,143.07,20,114.46,paid,card,express,105.87,11.0,2.58,0,0.0,-4.99,,
264,2024-02-12,1092,fashion,85.88,20,68.71,cancelled,invoice,express,46.38,11.0,1.55,0,0.0,-1.5,out_of_stock,
303,2024-02-13,1022,sport,93.61,20,74.89,cancelled,card,standard,54.29,5.5,2.34,0,0.0,-1.5,customer_changed_mind,
194,2024-02-13,1019,beauty,17.89,10,16.1,paid,invoice,pickup,8.94,2.5,0.32,0,0.0,4.33,,
208,2024-02-13,1101,beauty,86.68,10,78.01,paid,card,express,43.34,11.0,2.17,0,0.0,21.5,,
228,2024-02-13,1129,fashion,88.67,5,84.24,cancelled,card,express,47.88,11.0,2.22,0,0.0,-2.0,customer_changed_mind,
214,2024-02-13,1075,sport,51.25,5,48.69,paid,invoice,express,29.73,11.0,0.92,0,0.0,7.04,,
280,2024-02-13,1040,electronics,89.86,15,76.38,paid,card,pickup,66.5,2.5,1.08,0,0.0,6.31,,
313,2024-02-14,1023,fashion,79.48,15,67.55,paid,bank_transfer,standard,42.92,5.5,1.43,0,0.0,17.71,,
230,2024-02-14,1076,fashion,97.52,20,78.01,paid,paypal,standard,52.66,5.5,2.44,0,0.0,17.42,,
305,2024-02-14,1060,kids,60.35,10,54.32,paid,invoice,express,34.4,11.0,1.09,0,0.0,7.83,,
226,2024-02-14,1139,beauty,32.97,20,26.38,paid,bank_transfer,pickup,16.49,2.5,0.4,0,0.0,7.0,,
160,2024-02-14,1071,sport,105.47,5,100.19,paid,paypal,express,61.17,11.0,1.9,0,0.0,26.12,,
148,2024-02-14,1128,sport,86.92,5,82.57,paid,bank_transfer,pickup,50.41,2.5,2.17,0,0.0,27.49,,
184,2024-02-14,1084,beauty,52.04,15,44.24,paid,invoice,express,26.02,11.0,0.94,0,0.0,6.28,,
177,2024-02-15,1048,sport,96.17,20,76.93,paid,card,standard,55.78,5.5,1.15,0,0.0,14.5,,
315,2024-02-15,1126,kids,42.78,10,38.5,paid,card,express,24.38,11.0,0.77,0,0.0,2.35,,
144,2024-02-15,1114,home,98.11,0,98.11,returned,bank_transfer,standard,60.83,5.5,2.45,8,98.11,-15.95,,size_issue
274,2024-02-15,1075,sport,95.38,15,81.07,paid,paypal,standard,55.32,5.5,1.72,0,0.0,18.54,,
249,2024-02-15,1107,electronics,145.38,0,145.38,paid,paypal,standard,107.58,5.5,3.63,0,0.0,28.66,,
