customer_id,signup_date,city,acquisition_channel,customer_segment
1073,2023-11-15,Berlin,tiktok,vip
1074,2024-02-01,Stuttgart,instagram,new
1075,2024-01-22,Frankfurt,tiktok,regular
1076,2023-11-25,Frankfurt,instagram,new
1077,2023-09-29,Frankfurt,instagram,new
1078,2023-11-08,Berlin,tiktok,new
1079,2023-10-17,Hamburg,tiktok,new
1080,2023-12-03,Berlin,email,new
1081,2024-01-22,Stuttgart,tiktok,regular
1082,2024-02-23,Köln,google_ads,regular
1083,2023-11-24,Hamburg,organic,regular
1084,2023-10-09,Berlin,instagram,vip
1085,2023-12-09,Hamburg,instagram,new
1086,2023-10-03,Hamburg,instagram,new
1087,2023-12-10,Frankfurt,referral,regular
1088,2023-09-23,Köln,instagram,new
1089,2023-09-10,Stuttgart,email,vip
1090,2023-11-08,München,tiktok,new
1091,2023-12-09,Berlin,email,vip
1092,2023-10-04,Frankfurt,google_ads,new
1093,2024-01-16,Frankfurt,google_ads,vip
1094,2024-01-25,Köln,google_ads,regular
1095,2023-12-05,Frankfurt,organic,vip
1096,2023-09-01,München,tiktok,new
1097,2023-11-08,München,instagram,regular
1098,2023-09-04,München,organic,vip
1099,2023-09-16,Berlin,tiktok,regular
1100,2023-09-24,Berlin,organic,regular
1101,2023-11-19,Berlin,referral,regular
1102,2023-09-02,Köln,referral,new
1103,2024-01-06,Hamburg,referral,regular
1104,2024-02-07,München,instagram,regular
1105,2023-11-23,Düsseldorf,organic,vip
1106,2024-01-30,Hamburg,referral,new
1107,2024-01-18,München,google_ads,new
1108,2024-02-25,Frankfurt,referral,vip
1109,2024-02-10,Berlin,referral,vip
1110,2024-01-02,Berlin,email,new
1111,2023-10-03,Hamburg,instagram,regular
1112,2024-02-08,Berlin,instagram,new
1113,2024-02-18,Düsseldorf,email,new
1114,2023-12-10,Stuttgart,instagram,new
1115,2023-09-12,Köln,organic,new
1116,2023-11-06,Stuttgart,google_ads,regular
1117,2023-11-04,Stuttgart,referral,new
1118,2024-02-08,Berlin,tiktok,vip
1119,2024-02-15,Stuttgart,google_ads,vip
1120,2023-11-13,München,organic,regular
1121,2023-10-13,Stuttgart,tiktok,regular
1122,2023-10-14,Stuttgart,referral,new
1123,2023-09-29,Hamburg,organic,regular
1124,2024-01-19,Berlin,google_ads,regular
1125,2023-09-12,Berlin,email,new
1126,2023-12-04,München,tiktok,vip
1127,2023-10-16,Stuttgart,tiktok,regular
1128,2024-01-08,Stuttgart,tiktok,vip
1129,2023-10-05,Berlin,instagram,regular
1130,2023-11-20,München,instagram,regular
1131,2023-11-29,München,email,new
1132,2023-09-08,Berlin,email,vip
1133,2023-12-02,Berlin,email,regular
1134,2024-02-01,Hamburg,referral,new
1135,2023-11-29,Düsseldorf,google_ads,new
1136,2024-02-09,Hamburg,google_ads,new
1137,2023-12-24,München,email,regular
1138,2023-12-14,Frankfurt,tiktok,vip
1139,2024-01-13,Hamburg,tiktok,new
1140,2023-10-28,Düsseldorf,email,regular
